﻿EARTHID,CENTERLON,CENTERLAT,CENTERX,CENTERY,LEFTLOST,REALLEFTLON,REALRIGHTLON,REALTOPLAT,REALBOTTOMLAT,ANGLEPER100LON,ANGLEPER100LAT
146,-177,46.5,500000,5151664.0173716,17.6136281,-179.99977054,-173.99977054,48,45,0.00130275,0.0008996        
147,-177,49.5,500000,5485234.9104024,5.78988637,-179.99992006,-173.99992006,51,48,0.00138062,0.00089912       
148,-177,52.5,500000,5818979.58684792,93.34679988,-179.99862528,-173.99862528,54,51,0.00147271,0.00089866     
149,-177,55.5,500000,6152894.36350265,43.36583804,-179.99931367,-173.99931367,57,54,0.00158264,0.00089821     
150,-177,58.5,500000,6486973.68159123,17.28559012,-179.99970348,-173.99970348,60,57,0.00171544,0.00089778     
151,-177,61.5,500000,6821210.16354846,75.00168639,-179.9985913,-173.9985913,63,60,0.00187823,0.00089737       
152,-177,64.5,500000,7155594.69042272,74.9735918,-179.99843941,-173.99843941,66,63,0.00208153,0.00089698      
153,-177,67.5,500000,7490116.49920736,74.3380756,-179.99825941,-173.99825941,69,66,0.00234145,0.00089663      
154,-177,70.5,500000,7824763.29914969,29.02907273,-179.99922084,-173.99922084,72,69,0.00268406,0.00089631     
155,-177,73.5,500000,8159521.40583675,93.90356377,-179.99703793,-173.99703793,75,72,0.00315437,0.00089604     
156,-177,76.5,500000,8494375.89161647,22.87301296,-179.99912226,-173.99912226,78,75,0.00383744,0.0008958      
157,-177,79.5,500000,8829310.75068659,69.03981958,-179.99660632,-173.99660632,81,78,0.00491554,0.00089561     
158,-177,82.5,500000,9164309.07697639,84.83815949,-179.99417789,-173.99417789,84,81,0.00686261,0.00089546     
159,-177,85.5,500000,9499353.25276234,22.17852291,-179.997468,-173.997468,87,84,0.01141647,0.00089536         
160,-177,88.5,500000,9834425.14580183,32.59519388,-179.98884669,-173.98884669,90,87,0.03421765,0.00089531     
201,-171,-88.5,500000,-9834425.14580183,32.59519388,-173.98884669,-167.98884669,-87,-90,0.03421765,0.00089531 
202,-171,-85.5,500000,-9499353.25276234,22.17852291,-173.997468,-167.997468,-84,-87,0.01141647,0.00089536     
203,-171,-82.5,500000,-9164309.07697639,84.83815949,-173.99417789,-167.99417789,-81,-84,0.00686261,0.00089546 
204,-171,-79.5,500000,-8829310.75068659,69.03981958,-173.99660632,-167.99660632,-78,-81,0.00491554,0.00089561 
205,-171,-76.5,500000,-8494375.89161647,22.87301296,-173.99912226,-167.99912226,-75,-78,0.00383744,0.0008958  
206,-171,-73.5,500000,-8159521.40583675,93.90356377,-173.99703793,-167.99703793,-72,-75,0.00315437,0.00089604 
207,-171,-70.5,500000,-7824763.29914969,29.02907273,-173.99922084,-167.99922084,-69,-72,0.00268406,0.00089631 
208,-171,-67.5,500000,-7490116.49920736,74.3380756,-173.99825941,-167.99825941,-66,-69,0.00234145,0.00089663  
209,-171,-64.5,500000,-7155594.69042272,74.9735918,-173.99843941,-167.99843941,-63,-66,0.00208153,0.00089698  
210,-171,-61.5,500000,-6821210.16354846,75.00168639,-173.9985913,-167.9985913,-60,-63,0.00187823,0.00089737   
211,-171,-58.5,500000,-6486973.68159123,17.28559012,-173.99970348,-167.99970348,-57,-60,0.00171544,0.00089778 
212,-171,-55.5,500000,-6152894.36350265,43.36583804,-173.99931367,-167.99931367,-54,-57,0.00158264,0.00089821 
213,-171,-52.5,500000,-5818979.58684792,93.34679988,-173.99862528,-167.99862528,-51,-54,0.00147271,0.00089866 
214,-171,-49.5,500000,-5485234.9104024,5.78988637,-173.99992006,-167.99992006,-48,-51,0.00138062,0.00089912   
215,-171,-46.5,500000,-5151664.0173716,17.6136281,-173.99977054,-167.99977054,-45,-48,0.00130275,0.0008996    
216,-171,-43.5,500000,-4818268.67967382,64.00073932,-173.99920868,-167.99920868,-42,-45,0.00123642,0.00090007 
217,-171,-40.5,500000,-4485048.7434723,78.31219901,-173.99907622,-167.99907622,-39,-42,0.00117961,0.00090054  
218,-171,-37.5,500000,-4152002.13589837,92.00830929,-173.99895961,-167.99895961,-36,-39,0.00113076,0.00090101 
219,-171,-34.5,500000,-3819124.89267168,34.5766259,-173.99962357,-167.99962357,-33,-36,0.00108867,0.00090146  
